,datetime_local,cloud_cover,apparent_temperature,temperature,humidity,dew_point,wind_bearing,wind_speed,wind_gust,pressure,uv_index,ozone,precip_intensity,precip_probability,visibility,precip_type_-9999,precip_type_-9999.,precip_type_rain,icon_Breezy and Foggy,icon_Clear,icon_Foggy,icon_Humid,icon_Humid and Foggy,icon_Humid and Mostly Cloudy,icon_Humid and Overcast,icon_Humid and Partly Cloudy,icon_Light Rain,icon_Light Rain and Humid,icon_Mostly Cloudy,icon_Overcast,icon_Partly Cloudy,icon_Possible Drizzle and Humid,icon_Possible Light Rain,icon_Possible Light Rain and Humid,icon_Rain,icon_Rain and Humid,week_of_year,pahar,lead_15Mins,lead_30Mins,lead_45Mins,lead_60Mins
37,2017-10-02 13:00:00,0.0,35.57,36,0,14.48,306,4.54,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,5.57,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,12.08,12.07,11.38,10.78
38,2017-10-02 14:00:00,0.0,36.11,36,0,14.67,315,4.44,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,5.57,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,10.45,10.02,9.23,8.33
39,2017-10-02 15:00:00,0.0,37.44,37,0,15.32,314,1.5,-9999.0,1004.98,-9999,-9999.0,-9999.0,-9999.0,4.28,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,7.42,6.35,5.35,4.11
40,2017-10-02 16:00:00,0.0,35.73,36,0,15.78,302,3.99,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,5.57,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,2.98,1.98,1.21,0.64
41,2017-10-02 17:00:00,0.0,35.03,35,0,15.29,323,3.77,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,5.57,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0.25,0.04,0.0,0.0
42,2017-10-02 18:00:00,0.0,35.14,35,0,16.2,309,1.01,-9999.0,1004.02,-9999,-9999.0,-9999.0,-9999.0,4.23,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0.0,0.0,0.0,0.0
54,2017-10-03 06:00:00,0.0,22.09,22,1,18.04,320,0.51,-9999.0,1007.4,-9999,-9999.0,-9999.0,-9999.0,3.72,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0.0,0.0,0.08,0.34
55,2017-10-03 07:00:00,0.0,22.62,22,1,18.8,260,1.34,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0.8,1.4,2.23,3.13
56,2017-10-03 08:00:00,0.0,25.17,25,1,17.2,250,1.34,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,6.24,5.1,6.08,7.04
57,2017-10-03 09:00:00,0.0,27.88,27,1,17.66,275,0.48,-9999.0,1009.24,-9999,-9999.0,-9999.0,-9999.0,3.73,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,7.91,8.54,9.41,10.08
58,2017-10-03 10:00:00,0.0,30.97,30,0,18.25,300,1.97,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.52,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,10.6,11.05,11.69,12.09
59,2017-10-03 11:00:00,0.0,34.04,32,0,19.44,275,2.67,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,12.56,12.77,13.02,13.16
60,2017-10-03 12:00:00,0.0,37.19,35,0,18.69,294,1.06,-9999.0,1008.6,-9999,-9999.0,-9999.0,-9999.0,3.96,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,12.96,12.77,12.7,12.42
61,2017-10-03 13:00:00,0.0,35.23,34,0,18.36,339,3.75,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.49,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,12.08,12.07,11.38,10.78
62,2017-10-03 14:00:00,0.0,36.92,35,0,18.95,320,3.96,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.49,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,10.45,10.02,9.23,8.33
63,2017-10-03 15:00:00,0.0,38.34,37,0,16.78,318,1.63,-9999.0,1006.17,-9999,-9999.0,-9999.0,-9999.0,3.96,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,7.42,6.35,5.35,4.11
64,2017-10-03 16:00:00,0.0,37.41,36,0,17.7,340,3.83,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.49,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,2.98,1.98,1.21,0.64
65,2017-10-03 17:00:00,0.0,37.48,36,0,18.78,340,3.61,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0.25,0.04,0.0,0.0
66,2017-10-03 18:00:00,0.0,35.97,35,0,17.98,324,1.05,-9999.0,1005.72,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0.0,0.0,0.0,0.0
78,2017-10-04 06:00:00,0.0,22.85,22,1,18.69,-9999,-9999.0,-9999.0,1009.01,-9999,-9999.0,-9999.0,-9999.0,3.51,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0.0,0.0,0.08,0.34
79,2017-10-04 07:00:00,0.0,24.39,24,1,20.02,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0.8,1.4,2.23,3.13
80,2017-10-04 08:00:00,0.0,24.96,24,1,20.03,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,6.24,5.1,6.08,7.04
81,2017-10-04 09:00:00,0.0,26.64,26,1,19.54,263,0.53,-9999.0,1010.85,-9999,-9999.0,-9999.0,-9999.0,3.65,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,7.91,8.54,9.41,10.08
82,2017-10-04 10:00:00,0.0,32.55,31,1,19.99,295,1.06,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.54,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,10.6,11.05,11.69,12.09
83,2017-10-04 11:00:00,0.0,34.43,32,0,19.55,314,2.45,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.78,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,12.56,12.77,13.02,13.16
84,2017-10-04 12:00:00,0.09,36.51,35,0,18.72,313,1.59,-9999.0,1009.57,-9999,-9999.0,-9999.0,-9999.0,3.89,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,12.96,12.77,12.7,12.42
85,2017-10-04 13:00:00,0.0,38.2,35,0,20.54,317,3.38,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,12.08,12.07,11.38,10.78
86,2017-10-04 14:00:00,0.0,37.48,36,0,18.78,330,3.96,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,10.45,10.02,9.23,8.33
87,2017-10-04 15:00:00,0.09,38.32,37,0,17.19,325,1.52,-9999.0,1007.33,-9999,-9999.0,-9999.0,-9999.0,3.88,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,7.42,6.35,5.35,4.11
88,2017-10-04 16:00:00,0.0,36.58,36,0,16.25,332,3.69,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,2.98,1.98,1.21,0.64
89,2017-10-04 17:00:00,0.0,35.0,35,0,15.03,343,3.37,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0.25,0.04,0.0,0.0
90,2017-10-04 18:00:00,0.0,35.23,34,0,18.07,330,1.2,-9999.0,1007.29,-9999,-9999.0,-9999.0,-9999.0,3.88,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0.0,0.0,0.0,0.0
102,2017-10-05 06:00:00,0.0,23.23,23,1,19.97,54,0.55,-9999.0,1009.56,-9999,-9999.0,-9999.0,-9999.0,3.67,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0.0,0.0,0.08,0.34
103,2017-10-05 07:00:00,0.0,25.49,25,1,20.03,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0.8,1.4,2.23,3.13
104,2017-10-05 08:00:00,0.0,25.72,25,1,21.69,250,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,6.24,5.1,6.08,7.04
105,2017-10-05 09:00:00,0.0,28.36,27,1,19.77,305,0.4,-9999.0,1009.8,-9999,-9999.0,-9999.0,-9999.0,3.78,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,7.91,8.54,9.41,10.08
106,2017-10-05 10:00:00,0.0,33.97,31,1,21.11,313,1.57,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.07,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,10.6,11.05,11.69,12.09
107,2017-10-05 11:00:00,0.0,36.24,33,1,21.42,330,2.64,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,12.56,12.77,13.02,13.16
108,2017-10-05 12:00:00,0.0,36.1,35,0,18.5,349,1.24,-9999.0,1009.77,-9999,-9999.0,-9999.0,-9999.0,3.8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,12.96,12.77,12.7,12.42
109,2017-10-05 13:00:00,0.0,36.64,36,0,17.48,356,3.29,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.04,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,12.08,12.07,11.38,10.78
110,2017-10-05 14:00:00,0.0,37.27,37,0,15.06,40,3.58,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,10.45,10.02,9.23,8.33
111,2017-10-05 15:00:00,0.0,36.98,37,0,15.1,354,1.31,-9999.0,1007.39,-9999,-9999.0,-9999.0,-9999.0,3.83,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,7.42,6.35,5.35,4.11
112,2017-10-05 16:00:00,0.0,37.22,37,0,13.87,340,4.47,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,2.98,1.98,1.21,0.64
113,2017-10-05 17:00:00,0.0,35.85,35,0,17.21,332,3.32,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.78,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0.25,0.04,0.0,0.0
114,2017-10-05 18:00:00,0.0,34.95,34,0,17.69,12,0.84,-9999.0,1006.83,-9999,-9999.0,-9999.0,-9999.0,3.86,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0.0,0.0,0.0,0.0
126,2017-10-06 06:00:00,0.0,23.12,23,1,18.85,-9999,0.0,-9999.0,1009.84,-9999,-9999.0,-9999.0,-9999.0,3.62,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0.0,0.0,0.08,0.34
127,2017-10-06 07:00:00,0.0,28.37,27,1,18.77,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0.8,1.4,2.23,3.13
128,2017-10-06 08:00:00,0.0,26.32,26,1,19.69,-9999,0.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.64,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,6.24,5.1,6.08,7.04
129,2017-10-06 09:00:00,0.0,28.63,27,1,19.03,-9999,-9999.0,-9999.0,1010.81,-9999,-9999.0,-9999.0,-9999.0,3.73,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,7.91,8.54,9.41,10.08
130,2017-10-06 10:00:00,0.0,33.37,32,0,18.83,259,0.85,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.78,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,10.6,11.05,11.69,12.09
131,2017-10-06 11:00:00,0.0,34.54,34,0,17.11,352,2.32,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.78,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,12.56,12.77,13.02,13.16
132,2017-10-06 12:00:00,0.0,35.42,35,0,15.95,346,0.8,-9999.0,1010.01,-9999,-9999.0,-9999.0,-9999.0,3.88,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,12.96,12.77,12.7,12.42
133,2017-10-06 13:00:00,0.0,35.57,36,0,13.91,332,2.93,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,12.08,12.07,11.38,10.78
134,2017-10-06 14:00:00,0.0,35.57,36,0,13.91,306,3.57,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,10.45,10.02,9.23,8.33
135,2017-10-06 15:00:00,0.0,36.98,37,0,14.43,349,1.18,-9999.0,1007.84,-9999,-9999.0,-9999.0,-9999.0,3.91,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,7.42,6.35,5.35,4.11
136,2017-10-06 16:00:00,0.0,35.0,35,0,14.27,325,3.88,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,2.98,1.98,1.21,0.64
137,2017-10-06 17:00:00,0.0,35.0,35,0,14.29,326,3.13,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0.25,0.04,0.0,0.0
138,2017-10-06 18:00:00,0.0,33.69,34,0,16.25,321,1.13,-9999.0,1006.84,-9999,-9999.0,-9999.0,-9999.0,3.89,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0.0,0.0,0.0,0.0
150,2017-10-07 06:00:00,0.0,21.48,21,1,18.21,320,0.89,-9999.0,1009.53,-9999,-9999.0,-9999.0,-9999.0,3.49,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0.0,0.0,0.08,0.34
151,2017-10-07 07:00:00,0.0,21.39,21,1,17.72,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0.8,1.4,2.23,3.13
152,2017-10-07 08:00:00,0.0,23.16,23,1,18.81,280,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.93,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,6.24,5.1,6.08,7.04
153,2017-10-07 09:00:00,0.0,25.06,25,1,17.82,272,0.68,-9999.0,1010.6,-9999,-9999.0,-9999.0,-9999.0,3.67,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,7.91,8.54,9.41,10.08
154,2017-10-07 10:00:00,0.0,30.69,29,1,20.03,280,1.14,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.82,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,10.6,11.05,11.69,12.09
155,2017-10-07 11:00:00,0.0,33.99,32,0,19.85,311,2.73,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.82,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,12.56,12.77,13.02,13.16
156,2017-10-07 12:00:00,0.0,35.82,34,0,19.07,257,1.18,-9999.0,1009.57,-9999,-9999.0,-9999.0,-9999.0,3.72,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,12.96,12.77,12.7,12.42
157,2017-10-07 13:00:00,0.0,34.75,34,0,17.54,303,3.55,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.54,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,12.08,12.07,11.38,10.78
158,2017-10-07 14:00:00,0.0,34.46,34,0,15.56,350,3.15,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.54,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,10.45,10.02,9.23,8.33
159,2017-10-07 15:00:00,0.0,36.97,37,0,15.86,333,0.97,-9999.0,1006.63,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,7.42,6.35,5.35,4.11
160,2017-10-07 16:00:00,0.0,35.0,35,0,15.53,326,3.13,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,2.98,1.98,1.21,0.64
161,2017-10-07 17:00:00,0.0,34.46,34,0,15.77,330,3.96,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0.25,0.04,0.0,0.0
162,2017-10-07 18:00:00,0.0,34.11,34,0,17.16,317,0.86,-9999.0,1005.33,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0.0,0.0,0.0,0.0
174,2017-10-08 06:00:00,0.0,21.77,21,1,18.43,-9999,-9999.0,-9999.0,1008.06,-9999,-9999.0,-9999.0,-9999.0,3.32,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0.0,0.0,0.08,0.34
175,2017-10-08 07:00:00,0.0,23.02,23,1,17.68,270,1.34,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.77,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0.8,1.4,2.23,3.13
176,2017-10-08 08:00:00,0.0,24.95,24,1,20.01,280,2.24,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,1.69,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,6.24,5.1,6.08,7.04
177,2017-10-08 09:00:00,0.0,27.61,26,1,19.51,289,0.73,-9999.0,1009.6,-9999,-9999.0,-9999.0,-9999.0,3.54,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,7.91,8.54,9.41,10.08
178,2017-10-08 10:00:00,0.0,30.02,28,1,20.58,325,2.16,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,10.6,11.05,11.69,12.09
